
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 200 mg/5 mL (NDC 0781-6156-57)","Reverified","03/21/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 400 mg/5 mL (NDC 0781-6157-46)","Reverified","03/21/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 400 mg/5 mL (NDC 0781-6157-52)","Reverified","03/21/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-545-8747","Powder, For Suspension, 400 mg/5 mL (NDC 0781-6157-57)","Reverified","03/21/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 250 mg/5 mL (NDC 0781-6041-46)","Reverified","03/21/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 250 mg/5 mL (NDC 0781-6041-55)","Reverified","03/21/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 250 mg/5 mL (NDC 0781-6041-58)","Reverified","03/21/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 250 mg/5 mL (NDC 0093-4155-73)","Revised","02/06/2024","Allocating existing supply","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 250 mg/5 mL (NDC 0093-4155-80)","Revised","02/06/2024","Allocating existing supply","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 250 mg/5 mL (NDC 0093-4155-79)","Revised","02/06/2024","Allocating existing supply","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-55)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-80)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-50)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-75)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-55)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-80)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-50)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-75)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-15)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-80)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 200 mg/5 mL (NDC 0143-9886-50)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 200 mg/5 mL (NDC 0143-9886-75)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Amoxicillin, Powder, For Suspension, 250 mg/5 mL (NDC 0143-9889-15)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 250 mg/5 mL (NDC 0143-9889-80)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 400 mg/5 mL (NDC 0143-9887-50)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 400 mg/5 mL (NDC 0143-9887-75)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-73)","Revised","02/06/2024","Allocating existing supply","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-76)","Revised","02/06/2024","Allocating existing supply","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-78)","Revised","02/06/2024","Limited Availability, Estimated recovery Feb 2024","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-73)","Revised","02/06/2024","Unavailable, Estimated Recovery May 2024","","","Demand increase for the drug","Anti-Infective","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-76)","Revised","02/06/2024","Allocating existing supply","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-78)","Revised","02/06/2024","Allocating existing supply, Estimated Recovery Dec 2024","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.","888-852-6657","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 64850-500-01)","Reverified","04/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.","888-852-6657","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 64850-501-01)","Reverified","04/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.","888-852-6657","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 64850-502-01)","Reverified","04/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.","888-852-6657","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.125 mg; 3.125 mg; 3.125 mg; 3.125 mg (NDC 64850-503-01)","Reverified","04/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.","888-852-6657","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 64850-504-01)","Reverified","04/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.","888-852-6657","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 64850-505-01)","Reverified","04/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.","888-852-6657","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 64850-506-01)","Reverified","04/01/2024","Available","","","","Psychiatry","Current","","","08/15/2023","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 72516-016-01)","Reverified","02/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 72516-014-01)","Reverified","02/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 72516-013-01)","Reverified","02/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 72516-012-01)","Reverified","02/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 72516-011-01)","Reverified","02/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 70010-111-01)","Reverified","03/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 70010-112-01)","Reverified","03/15/2024","Unavailable","Estimated availability: May 2024","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 70010-113-01)","Reverified","03/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.125 mg; 3.125 mg; 3.125 mg; 3.125 mg (NDC 70010-114-01)","Reverified","03/15/2024","Unavailable","Estimated availability: May 2024","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 70010-115-01)","Reverified","03/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 70010-116-01)","Reverified","03/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 70010-117-01)","Reverified","03/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Aurobindo Pharma USA","(866) 850-2876 or CustomerService@AurobindoUSA.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 13107-068-01)","Revised","01/31/2024","Estimated availability: September 2024","","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
